Australian Magpie,Gymnorhina tibicen,89309,45.75%
Noisy Miner,Manorina melanocephala,65692,33.65%
Australian Raven,Corvus coronoides,62965,32.26%
Magpie-lark,Grallina cyanoleuca,60434,30.96%
Sulphur-crested Cockatoo,Cacatua galerita,58607,30.02%
Rainbow Lorikeet,Trichoglossus moluccanus,57213,29.31%
Pied Currawong,Strepera graculina,54712,28.03%
Superb Fairy-wren,Malurus cyaneus,49807,25.52%
Welcome Swallow,Hirundo neoxena,45891,23.51%
Red Wattlebird,Anthochaera carunculata,44380,22.74%
Crested Pigeon,Ocyphaps lophotes,40003,20.49%
Willie Wagtail,Rhipidura leucophrys,39830,20.40%
Galah,Eolophus roseicapilla,39578,20.28%
Laughing Kookaburra,Dacelo novaeguineae,39136,20.05%
Crimson Rosella,Platycercus elegans,37515,19.22%
Grey Fantail,Rhipidura albiscapa,37253,19.08%
Grey Butcherbird,Cracticus torquatus,37154,19.03%
Common Myna,Acridotheres tristis,33896,17.36%
Masked Lapwing,Vanellus miles,31603,16.19%
Pacific Black Duck,Anas superciliosa,30694,15.72%
Yellow-faced Honeyeater,Caligavis chrysops,29612,15.17%
Australian Wood Duck,Chenonetta jubata,28385,14.54%
Silver Gull,Larus novaehollandiae,26851,13.76%
Australian White Ibis,Threskiornis moluccus,26358,13.50%
Eastern Rosella,Platycercus eximius,25504,13.07%
Brown Thornbill,Acanthiza pusilla,25372,13.00%
Spotted Pardalote,Pardalotus punctatus,23931,12.26%
Silvereye,Zosterops lateralis,23587,12.08%
Black-faced Cuckoo-shrike,Coracina novaehollandiae,23229,11.90%
White-browed Scrubwren,Sericornis frontalis,22741,11.65%
Eastern Spinebill,Acanthorhynchus tenuirostris,22727,11.64%
Australian King-Parrot,Alisterus scapularis,22437,11.49%
Spotted Dove,Spilopelia chinensis,21941,11.24%
Little Wattlebird,Anthochaera chrysoptera,21704,11.12%
Little Pied Cormorant,Microcarbo melanoleucos,21469,11.00%
Common Starling,Sturnus vulgaris,21370,10.95%
Eastern Whipbird,Psophodes olivaceus,21200,10.86%
White-faced Heron,Egretta novaehollandiae,20549,10.53%
Dusky Moorhen,Gallinula tenebrosa,20175,10.34%
Purple Swamphen,Porphyrio porphyrio,19678,10.08%
Eurasian Coot,Fulica atra,19657,10.07%
Little Corella,Cacatua sanguinea,19627,10.05%
Eastern Yellow Robin,Eopsaltria australis,19588,10.03%
Lewin's Honeyeater,Meliphaga lewinii,19506,9.99%
Golden Whistler,Pachycephala pectoralis,18274,9.36%
Satin Bowerbird,Ptilonorhynchus violaceus,18105,9.28%
Red-browed Finch,Neochmia temporalis,17927,9.18%
White-throated Treecreeper,Cormobates leucophaea,17570,9.00%
Australian Pelican,Pelecanus conspicillatus,16398,8.40%
Little Black Cormorant,Phalacrocorax sulcirostris,15997,8.20%
Rock Dove,Columba livia,15571,7.98%
New Holland Honeyeater,Phylidonyris novaehollandiae,15115,7.74%
Grey Shrike-thrush,Colluricincla harmonica,14961,7.66%
Black Swan,Cygnus atratus,14683,7.52%
Red-rumped Parrot,Psephotus haematonotus,14071,7.21%
Noisy Friarbird,Philemon corniculatus,13856,7.10%
Chestnut Teal,Anas castanea,12990,6.65%
Yellow-tailed Black-Cockatoo,Zanda funerea,12063,6.18%
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,11805,6.05%
Rufous Whistler,Pachycephala rufiventris,11652,5.97%
Grey Teal,Anas gracilis,11183,5.73%
Olive-backed Oriole,Oriolus sagittatus,11143,5.71%
Australasian Grebe,Tachybaptus novaehollandiae,11126,5.70%
Yellow Thornbill,Acanthiza nana,11102,5.69%
Great Cormorant,Phalacrocorax carbo,10483,5.37%
Striated Pardalote,Pardalotus striatus,10198,5.22%
Common Blackbird,Turdus merula,9863,5.05%
Striated Thornbill,Acanthiza lineata,9370,4.80%
Eastern Koel,Eudynamys orientalis,9222,4.72%
Australian Reed-Warbler,Acrocephalus australis,9197,4.71%
Weebill,Smicrornis brevirostris,8883,4.55%
House Sparrow,Passer domesticus,8373,4.29%
Australasian Darter,Anhinga novaehollandiae,8350,4.28%
White-plumed Honeyeater,Ptilotula penicillata,8069,4.13%
Brown Gerygone,Gerygone mouki,8061,4.13%
Red-whiskered Bulbul,Pycnonotus jocosus,8035,4.12%
Sacred Kingfisher,Todiramphus sanctus,8034,4.12%
Australasian Figbird,Sphecotheres vieilloti,8025,4.11%
Variegated Fairy-wren,Malurus lamberti,7860,4.03%
Great Pied Cormorant,Phalacrocorax varius,7799,4.00%
Greater Crested Tern,Thalasseus bergii,7742,3.97%
Hardhead,Aythya australis,7572,3.88%
